likert,effectTime,didnotagree,language,rawwords,agreed,when,userid,effect,param,quiet,surveyID,sessionid,key,useragent,ind,cleanTime,irb,words,audioFile,listen
4,61.027,"inspiring,highs,muffled,deeper,continuous,quiet,warm,none of the above",English,"organ,church,big,loud,echo,creepy,halloween","wide,echo,multiply,broad,stage-echo,big-church,resounding,full",2014-03-18T23:01:53,f5wfL1nedE39Gp5NydZt,reverb,"0.0649,0.8200,-0.0063,10061.0000,1.5191",yes,7sSk8LRjbMyX7fiOtauU,kSqvl73HxTf72oijBLe5,4508425023127552,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",132,38.801,true,"organ,church,big,loud,echo,creepy,halloween",/static/audio/piano.mp3,headphones
1,14.365,"deep,rocking,drowned,pained,better-tuned,end,muddy,sharp,echo,louder,live,none of the above",English,"drums,distant,hollow,darker,lower-sounding","muddled,distant,refined,quiet",2014-03-23T03:03:37,3GzOlcP5kXF1XHBObp3u,reverb,"0.0219,0.8200,-0.0060,294.0000,85.5080",yes,U2lqzrZM3cywXzcmWz7g,7FEucmMNXbCyTqbDcguN,4508651582652416,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",81,15.139,true,"drums,distant,hollow,darker,lower-sounding",/static/audio/drums.mp3,headphones
4,54.774,"smooth,sorrow,simple,serene,mournful,slow,profound,wave,cool,joyous,gloomy,funeral,solid,band,none of the above",English,echo,echo,2014-05-13T10:13:46,QTsHakLYzNh3AmnRxF4I,reverb,"0.0369,0.9600,-0.0100,634.0000,13.2820",yes,AfbIh1oJHQp7HMxWgnBO,s4PVHZJQZDlxyvBoaSqd,4508804322426880,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",187,15.678,true,echo,/static/audio/drums.mp3,headphones
3,14.53,"cold,repeating,closer,long,ominous,car-revving,organ-like,invited,distorted,scary,clamber,bells,deep,space,none of the above",English,simple,warm,2014-03-20T00:04:06,RBWyZSC4vIg4zyYI2T63,reverb,"0.0256,0.9700,-0.0046,4815.0000,11.7080",yes,67FCfI6wse4kQgeXv7bQ,aypizSkecoiyX2tNdCoZ,4508884584628224,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",213,49.162,true,simple,/static/audio/guitar.mp3,standalone
4,52.232,"masterful,louder,acoustic,deep-profound,clearer,striped-down,boom,crisper,twangy,hissing,sad,less-authentic,none of the above",English,"sweet,nicely-played","live,fun,good",2014-05-13T18:14:43,MZgINo7Weyncm63FbbJD,reverb,"0.0129,0.8800,-0.0081,10706.0000,6.0394",yes,plfyS5s00ymggYuxoKDa,5N3bDBUCfCATIJxVbzLz,4509209928400896,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",133,54.636,true,"sweet,nicely-played",/static/audio/guitar.mp3,laptop/tablet/cellphone
2,7.82,"church-practice,exciting,small-church,haunting,sweet,marching,echo,organ,medium,no-people,lively,pleasing,none of the above",English,"mild,tone","piano,smother,melodic",2014-03-22T07:40:49,KAt8Dox7CzTbKFpg8soM,reverb,"0.0310,0.6900,-0.0100,16286.0000,33.4670",yes,maPFCvtMTafMuW47C0Cd,qgjeljvOSHzGFfxrVKhn,4510843089715200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",153,17.406,true,"mild,tone",/static/audio/guitar.mp3,standalone
2,3.111,"dulling,fun,vibrating,emotional,subdued,church,strong,light,peaceful,reminiscent,echo,happy,none of the above",English,"lucious,textured,harp-like,jazzy","full,melodic,smooth",2014-03-23T21:04:22,ghrYxzgIgEaBO958bKwE,reverb,"0.0168,0.0100,0.0047,3478.0000,2051.5000",yes,eoPhfJrfRiHRA21MBHxY,JJ12A8EGa0xiu58Mbeia,4511228563030016,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",194,22.97,true,"luscious,textured,harp-like,jazzy",/static/audio/guitar.mp3,standalone
3,17.557,"drizzling,wide,muffled,hollow,smooth,sad,echoing,cavernous,hospital,scary,bleed,muddy,tragic,death,none of the above",English,super,powerful,2014-05-14T06:58:16,dpjPQK05gR0bS1gw7Guk,reverb,"0.0848,0.9100,-0.0100,2916.0000,32.4990",yes,esLeF6AHOctgW2wxoXuK,V3AeuLx2tGBTNjylWZgL,4511500488146944,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",113,24.885,true,super,/static/audio/drums.mp3,headphones
3,27.822,"broad,vast,revisited-pastiche,overwhelming,wide,expansive",English,"indistinct,muffled",none of the above,2014-03-18T01:13:15,0g2UfY0Fe57DnVtLNl50,reverb,"0.0769,0.9200,-0.0088,771.0000,6.6107",yes,kQmwUT9XeWjKAvlZ3ENB,UQj7gepJ11zkOys7I4x9,4511564644220928,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",238,14.968,true,"indistinct,muffled",/static/audio/drums.mp3,headphones
1,31.706,"warm,jangle,army,attractive,high,fun,large,dramatic,confined,rhythmic,distant,hallway,none of the above",English,"no-bass,lacking","weaker,narrow,lighter",2014-03-25T03:37:51,KA6cIpLzOpM1CPG0oyMW,reverb,"0.0256,0.7400,-0.0081,22050.0000,37.4530",yes,372mMBSJbh9jYJjYAFB9,GkSC9bzlQeQ1K8uWEbtO,4511786908778496,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",35,20.591,true,"no-bass,lacking",/static/audio/drums.mp3,headphones
3,34.54,"agitated,continuous,fake,ominous,tasteless,spooky,lower,dead,painful,bland,washed-out,echo,minor,none of the above",English,warm,"sentry,old-church",2014-03-18T13:42:07,ZvrN8IBODKQfCoKmijEW,reverb,"0.0674,0.9100,-0.0011,8880.0000,0.9625",no,l8I9WCNnvdNIBnmT9ZJn,se9yAqtfZULosH0HqTLb,4512342033301504,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",215,16.472,true,warm,/static/audio/piano.mp3,standalone
2,31.49,,English,"intense,jazzy,bold",,2014-03-15T03:45:51,UT0NcTyERoOw39CnU5Gt,reverb,"0.0208,0.9100,-0.0088,22050.0000,7.3046",yes,nQ7hbfULR365S6fLngBL,dSi7mR7YWusNJHQxWnjv,4512612616241152,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",184,24.12,true,"intense,jazzy,bold",/static/audio/drums.mp3,headphones
3,9.311,"temple-church,church,deep,dramatic,organ,spooky,booming,darker,distorted,piano,uncomfortable,nostalgic,muffed,spacey,none of the above",English,enjoyful,warm,2014-03-23T02:29:02,kLdTWSqQWAvGXHM5oSon,reverb,"0.0329,0.9600,-0.0043,22050.0000,1.7288",yes,3ZzAMvZgcM0vVh4YhihB,2CV1riyJeKIo6WHRT9OH,4513092578836480,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",61,20.346,true,joyful,/static/audio/drums.mp3,headphones
3,39.842,"big,hollow,warm,stifling,welcoming,none of the above",English,"loud,bass,echo,rhythm-boosting","muffling,barrel",2014-03-18T02:07:10,ae2XWd28IvUU1GtUCxri,reverb,"0.0319,0.3900,0.0065,571.0000,96.3590",yes,KTsZbSTQRzElTqxWfEZs,yNPPb4lANMLNLRg55nTa,4513467314733056,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",26,48.996,true,"loud,bass,echo,rhythm-boosting",/static/audio/drums.mp3,headphones
2,33.83,"long,deep-well,soft,spacey,echo,curious,stronger,courageous,echo-chamber,cathedral,tunnel,far,parade,cave,none of the above",English,keyboard-magic,distant,2014-05-13T10:16:53,QTsHakLYzNh3AmnRxF4I,reverb,"0.0769,0.7900,-0.0037,326.0000,9.5462",yes,AfbIh1oJHQp7HMxWgnBO,s4PVHZJQZDlxyvBoaSqd,4513701658886144,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",38,22.453,true,keyboard-magic,/static/audio/piano.mp3,headphones
4,65.342,"far,far-near,big-church,sad,ballistic,hallway-like,waving,chorus-like,spacious,echoing,night-magic,calmed,none of the above",English,"deep,strong","powerful,cool,eerier",2014-03-24T19:32:41,YdoOne8zn7g64TMbKSER,reverb,"0.0699,0.9000,-0.0115,749.0000,79.6070",yes,9dtp3XtoNiiwauc1RbpU,cgM6mMEZe7oH33LjYEe2,4514097601183744,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",97,19.447,true,"deep,strong",/static/audio/drums.mp3,headphones
4,59.37,"church,wide,majestic,fuller,amplified,softer,morose,original,huge,organ,somber,big-trumpets,big-church,none of the above",English,"echo-effect,vibrate,loud","loud,big",2014-03-19T02:20:30,oljcZ6s5nA7jm2PcUB2C,reverb,"0.0739,0.9200,-0.0106,1569.0000,2.7254",yes,vJbyRr7qTxK1CQWF6Z2z,KToqVwKehiHJrioD9Li8,4514695675379712,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",222,16.532,true,"echo-effect,vibrate,loud",/static/audio/drums.mp3,headphones
3,33.552,"depressing,surf,overlapping,big-church,horrible,dirty,clear,chaotic,soothing,crashing-waves,drum-like,relaxing,tingly,gothic,distant",English,"big-church,voluminous",none of the above,2014-05-14T01:43:28,zRjLgWqedgRiWeY2oUtu,reverb,"0.0469,0.9400,-0.0101,7229.0000,19.1770",yes,lCyWoBnJNhvX0ZktdTbW,bb8GXl3qMkObjJGDyGfk,4514750973083648,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",166,16.757,true,"big-church,voluminous",/static/audio/piano.mp3,standalone
1,9.234,"fun,rings,distant,low,deep,wide,similar,sweet,clean,same,lively,dynamic,none of the above",English,"slight,minimal,soothing","happy,nice,sparkling",2014-03-23T19:10:41,9b276UCud3KSyI9FnSdH,reverb,"0.0188,0.8300,-0.0088,61.0000,205.9000",yes,HLJ6QK1Nk3eZ8VDQvq0h,mfqjfz4uTiFxZxPH62YS,4515540710195200,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",12,16.257,true,"slight,minimal,soothing",/static/audio/guitar.mp3,headphones
2,80.713,"between-wall,unclear,good-rhythm,distorted,far,lonesome,high,warm,faint,windy,concert,distant,none of the above",English, orchestra,"joyful,deep,church-like",2014-03-18T13:47:49,LtzH5hTiuQHHhiSiLaIB,reverb,"0.0369,0.9200,0.0057,1894.0000,1.4226",yes,IW1dI7gBDPEiWiOKmcox,wC2tc7y0mhUBcSWZW5in,4515786597072896,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",75,11.299,true,orchestra,/static/audio/guitar.mp3,headphones
2,39.021,"joy,good,expansive,drums,thickens-sound,reverberating,beautiful,metallic,arena,muffled,empty-auditorium,none of the above",English,"distant,hollow,eerie,alien","highly-spacious,large-room,open-space,negative",2014-03-25T00:21:32,5FsrUQNjWvHzFUTR27Ap,reverb,"0.0378,0.9300,0.0035,1313.0000,1.6055",yes,qKhcjZmKd4QiEzpOiaQX,zACeuv6V6oZ0c2XIXUqU,4516674581561344,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",53,16.008,true,"distant,hollow,eerie,alien",/static/audio/piano.mp3,headphones
2,16.828,"pitch,stringy,rhythmic,muffled,interesting,subtle,fitting,pleasant,cool,hit,down,close,none of the above",English,"weak,strangled,car-speakers","soft,dull,sleepy",2014-03-23T03:30:22,4zJc0pc4huqgcKHUrcKJ,reverb,"0.0100,0.0100,-0.0021,643.0000,339.8900",yes,tcNETu6tVqwJypjhPCTr,T2Gnq9RDC1TBEGq5k7uR,4516803430580224,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",78,16.556,true,"weak,strangled,car-speakers",/static/audio/piano.mp3,headphones
4,39.639,"held-back,dull,impressive,lingering,bells,organ,loud-bass,none of the above",English,"horrible,mesmorizing,scary,old","brooding,cathedral,vampire-movie,distant,spacious,expansive,large,hesitant",2014-03-19T21:45:20,cgP1CDAnJVIhcbEYRS1M,reverb,"0.0279,0.9700,0.0090,833.0000,5.1507",yes,UcmyfJuIplKcOCxSikHc,I1A0tuqwu6pfZHHqFicL,4517178166476800,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",107,15.919,true,"horrible,scary,old",/static/audio/drums.mp3,headphones
3,76.671,"far,warm,bright,cold,faint,big,upsetting,still,spacious,moving,none of the above",English,"rich,harmonious,dischordant,echoing,harsh,jangling","echo,echos,off",2014-03-18T02:29:19,uyXnCRH0fBKlJAyzZ6ST,reverb,"0.0469,0.9400,-0.0021,6195.0000,21.6690",yes,95PuWogU35sKhM6QhbPh,FKlO7xbl7KXF64CQXthL,4517766576996352,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",68,11.225,true,"rich,harmonious,discordant,echoing,harsh,jangling",/static/audio/guitar.mp3,headphones
2,38.5,"spacey,and,slow-down,haunted,with,wet,loud,super-music,happy,eric,hall,booing,vibrate,none of the above",English,clear,"rhythm,clear",2014-03-24T18:08:00,fDwq5KpZWcqtOXnwyvXB,reverb,"0.0329,0.8000,0.0044,1191.0000,43.8740",yes,U5x7vAGAjv17YWF9yyuu,o7oAfaWV5LfpipcpWX34,4518117690572800,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",103,20.789,true,clear,/static/audio/piano.mp3,headphones
4,31.121,"high-boost,digital,none of the above",English,"drums,low,quiet,marching-band",tinny,2014-03-17T22:53:19,LsUDAcMlwiljYEp16izH,reverb,"0.0129,0.8900,-0.0050,22050.0000,16.8390",yes,npQdLvN0to1ekdzPQeGW,HxXslTRnjLsCmkP7a3QG,4518281973071872,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36",210,16.163,true,"drums,low,quiet,marching-band",/static/audio/drums.mp3,headphones
3,14.258,"calm,bassy,twangy,proud,shallow,strong,soothing,luke-warm,happy,practice-room,far-away,none of the above",English,"beautiful,harmonious,full,rich,love,happy,harp,angelic","warm,melodious,clearer,detailed",2014-03-20T21:44:29,wglkS5xlD8fJLPVGLOYt,reverb,"0.0109,0.1400,0.0013,22050.0000,8.8585",yes,doWh9ww3cPN8IfrKuOzN,nMRCQScyNxp9hXn8jyxo,4519033592348672,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",3,14.577,true,"beautiful,harmonious,full,rich,love,happy,harp,angelic",/static/audio/guitar.mp3,headphones
3,40.012,"sunny,clearer,choir-room,covered,spacious,distant,washed-out,warm,live,under,plate,none of the above",English,echo,"metallica,bells,relaxation,cathedral",2014-03-23T16:57:28,WbyQXFYYaEzX0LapeCyH,reverb,"0.0219,0.8100,-0.0103,458.0000,17.5820",yes,NzVYLbf6yBsTLRzq0LEv,Pvz0zpmuJXO6K4P0cpzy,4519457720369152,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",36,23.505,true,echo,/static/audio/drums.mp3,headphones
3,17.32,"like,deep,softer,deeper,echo,muffled,piano,classic,church,nice,muted,quick,drums,none of the above",English,irritate,"high-pitched,vibrant",2014-05-13T08:22:49,XCEUnFLNeernAJ7XWL7w,reverb,"0.0388,0.8200,-0.0105,4948.0000,2.2233",yes,y0x6IXk303FpnsAFbaMo,BZ1Gu0u9mMMi0akov8K7,4519577174147072,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",91,43.234,true,irritate,/static/audio/piano.mp3,standalone
3,15.752,"moving,rich,cold,bang,upsetting,bright,welcome-tone,faint,harmonious,preside,none of the above",English,"muted,echo,far,long","echoing,echo,warm,far,echos",2014-03-19T17:50:59,gnAU5zigC9ve0oPqybDk,reverb,"0.0469,0.9400,-0.0021,6195.0000,21.6690",yes,K1GDyg0XVICv5B8JlR7E,3MFDHmlhvfee3IUiQror,4519849636134912,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",68,16.632,true,"muted,echo,far,long",/static/audio/piano.mp3,headphones
3,91.315,"near,live,room,loud,neat,hard,not-full,more-ringing,close,dry-love,bad,annoying,steady,none of the above",English,"spacious,wide,hollow","wide,stretched",2014-03-20T03:35:05,KPi3PCdv7WOPQhpzh6KA,reverb,"0.0249,0.6200,0.0092,3759.0000,72.5290",yes,tMkh91gWn6r9XWX8hKx3,Xcs7JfO26ovQN5SdjM01,4520571190640640,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",173,32.339,true,"spacious,wide,hollow",/static/audio/drums.mp3,headphones
4,18.758,"spacious,fuzzy,feedback,echo,church,drowning,electric,distorted,less-bass,auditorium,far-away,none of the above",English,agry,"muffled,cloudy,unclear,lesser-quality",2014-03-18T17:07:45,EXtDSmXzOBlxd8rJ0lYm,reverb,"0.0100,0.9900,-0.0035,13964.0000,0.3470",yes,MR4qzp8HeuZjVH7BZ6cH,Twxg1A2sShv8sXanv54y,4520940557828096,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",96,25.619,true,agra,/static/audio/drums.mp3,headphones
